zip,fips,county,STATE
05734,50001,Addison County,VT
05747,50001,Addison County,VT
05770,50001,Addison County,VT
05487,50001,Addison County,VT
05469,50001,Addison County,VT
05767,50001,Addison County,VT
05769,50001,Addison County,VT
05473,50001,Addison County,VT
05733,50001,Addison County,VT
05201,50003,Bennington County,VT
05148,50003,Bennington County,VT
05343,50003,Bennington County,VT
05257,50003,Bennington County,VT
05254,50003,Bennington County,VT
05152,50003,Bennington County,VT
05340,50003,Bennington County,VT
05776,50003,Bennington County,VT
05255,50003,Bennington County,VT
05352,50003,Bennington County,VT
05768,50003,Bennington County,VT
05250,50003,Bennington County,VT
05262,50003,Bennington County,VT
05260,50003,Bennington County,VT
05363,50003,Bennington County,VT
05155,50003,Bennington County,VT
05350,50003,Bennington County,VT
05252,50003,Bennington County,VT
05253,50003,Bennington County,VT
05261,50003,Bennington County,VT
05161,50003,Bennington County,VT
05251,50003,Bennington County,VT
05761,50003,Bennington County,VT
05775,50003,Bennington County,VT
05841,50005,Caledonia County,VT
05838,50005,Caledonia County,VT
05658,50005,Caledonia County,VT
05046,50005,Caledonia County,VT
05871,50005,Caledonia County,VT
05042,50005,Caledonia County,VT
05842,50005,Caledonia County,VT
05680,50005,Caledonia County,VT
05837,50005,Caledonia County,VT
05849,50005,Caledonia County,VT
05867,50005,Caledonia County,VT
05873,50005,Caledonia County,VT
05866,50005,Caledonia County,VT
05839,50005,Caledonia County,VT
05832,50005,Caledonia County,VT
05861,50005,Caledonia County,VT
05843,50005,Caledonia County,VT
05081,50005,Caledonia County,VT
05647,50005,Caledonia County,VT
05050,50005,Caledonia County,VT
05848,50005,Caledonia County,VT
05069,50005,Caledonia County,VT
05828,50005,Caledonia County,VT
05836,50005,Caledonia County,VT
05851,50005,Caledonia County,VT
05821,50005,Caledonia County,VT
05850,50005,Caledonia County,VT
05824,50005,Caledonia County,VT
05863,50005,Caledonia County,VT
05819,50005,Caledonia County,VT
05862,50005,Caledonia County,VT
05401,50007,Chittenden County,VT
05402,50007,Chittenden County,VT
05468,50007,Chittenden County,VT
05446,50007,Chittenden County,VT
05406,50007,Chittenden County,VT
05407,50007,Chittenden County,VT
05451,50007,Chittenden County,VT
05473,50007,Chittenden County,VT
05465,50007,Chittenden County,VT
05477,50007,Chittenden County,VT
05490,50007,Chittenden County,VT
05403,50007,Chittenden County,VT
05461,50007,Chittenden County,VT
05452,50007,Chittenden County,VT
05495,50007,Chittenden County,VT
05676,50007,Chittenden County,VT
05478,50007,Chittenden County,VT
05482,50007,Chittenden County,VT
05453,50007,Chittenden County,VT
05404,50007,Chittenden County,VT
05405,50007,Chittenden County,VT
05408,50007,Chittenden County,VT
05494,50007,Chittenden County,VT
05449,50007,Chittenden County,VT
05445,50007,Chittenden County,VT
05462,50007,Chittenden County,VT
05489,50007,Chittenden County,VT
05487,50007,Chittenden County,VT
05466,50007,Chittenden County,VT
05439,50007,Chittenden County,VT
05904,50009,Essex County,VT
05903,50009,Essex County,VT
05906,50009,Essex County,VT
05824,50009,Essex County,VT
05901,50009,Essex County,VT
05902,50009,Essex County,VT
05840,50009,Essex County,VT
05905,50009,Essex County,VT
05846,50009,Essex County,VT
05858,50009,Essex County,VT
05907,50009,Essex County,VT
05837,50009,Essex County,VT
05464,50011,Franklin County,VT
05459,50011,Franklin County,VT
05470,50011,Franklin County,VT
05488,50011,Franklin County,VT
05468,50011,Franklin County,VT
05476,50011,Franklin County,VT
05457,50011,Franklin County,VT
05450,50011,Franklin County,VT
05478,50011,Franklin County,VT
05448,50011,Franklin County,VT
05444,50011,Franklin County,VT
05479,50011,Franklin County,VT
05454,50011,Franklin County,VT
05447,50011,Franklin County,VT
05481,50011,Franklin County,VT
05460,50011,Franklin County,VT
05485,50011,Franklin County,VT
05455,50011,Franklin County,VT
05471,50011,Franklin County,VT
05483,50011,Franklin County,VT
05441,50011,Franklin County,VT
05474,50013,Grand Isle County,VT
05486,50013,Grand Isle County,VT
05458,50013,Grand Isle County,VT
05440,50013,Grand Isle County,VT
05463,50013,Grand Isle County,VT
05655,50015,Lamoille County,VT
05843,50015,Lamoille County,VT
05680,50015,Lamoille County,VT
05672,50015,Lamoille County,VT
05489,50015,Lamoille County,VT
05662,50015,Lamoille County,VT
05661,50015,Lamoille County,VT
05464,50015,Lamoille County,VT
05442,50015,Lamoille County,VT
05657,50015,Lamoille County,VT
05444,50015,Lamoille County,VT
05656,50015,Lamoille County,VT
05826,50015,Lamoille County,VT
05665,50015,Lamoille County,VT
05652,50015,Lamoille County,VT
05492,50015,Lamoille County,VT
05653,50015,Lamoille County,VT
05051,50017,Orange County,VT
05032,50017,Orange County,VT
05679,50017,Orange County,VT
05649,50017,Orange County,VT
05641,50017,Orange County,VT
05036,50017,Orange County,VT
05086,50017,Orange County,VT
05075,50017,Orange County,VT
05046,50017,Orange County,VT
05043,50017,Orange County,VT
05079,50017,Orange County,VT
05072,50017,Orange County,VT
05054,50017,Orange County,VT
05039,50017,Orange County,VT
05040,50017,Orange County,VT
05045,50017,Orange County,VT
05070,50017,Orange County,VT
05061,50017,Orange County,VT
05068,50017,Orange County,VT
05654,50017,Orange County,VT
05055,50017,Orange County,VT
05060,50017,Orange County,VT
05675,50017,Orange County,VT
05077,50017,Orange County,VT
05663,50017,Orange County,VT
05069,50017,Orange County,VT
05085,50017,Orange County,VT
05033,50017,Orange County,VT
05076,50017,Orange County,VT
05081,50017,Orange County,VT
05083,50017,Orange County,VT
05041,50017,Orange County,VT
05038,50017,Orange County,VT
05058,50017,Orange County,VT
05669,50017,Orange County,VT
05065,50017,Orange County,VT
05074,50017,Orange County,VT
05860,50019,Orleans County,VT
05872,50019,Orleans County,VT
05833,50019,Orleans County,VT
05853,50019,Orleans County,VT
05680,50019,Orleans County,VT
05843,50019,Orleans County,VT
05836,50019,Orleans County,VT
05830,50019,Orleans County,VT
05857,50019,Orleans County,VT
05845,50019,Orleans County,VT
05820,50019,Orleans County,VT
05871,50019,Orleans County,VT
05842,50019,Orleans County,VT
05829,50019,Orleans County,VT
05827,50019,Orleans County,VT
05841,50019,Orleans County,VT
05875,50019,Orleans County,VT
05868,50019,Orleans County,VT
05476,50019,Orleans County,VT
05825,50019,Orleans County,VT
05823,50019,Orleans County,VT
05855,50019,Orleans County,VT
05874,50019,Orleans County,VT
05826,50019,Orleans County,VT
05839,50019,Orleans County,VT
05471,50019,Orleans County,VT
05846,50019,Orleans County,VT
05847,50019,Orleans County,VT
05859,50019,Orleans County,VT
05822,50019,Orleans County,VT
05775,50021,Rutland County,VT
